merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes
kohls,kohls,Kohl's Corporation,KSS,NYSE,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://kohlsbrnad.com/; https://finance.yahoo.com/quote/KSS,,,,,,,,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/kohl-s,http://web.archive.org/web/20240528163152/https://www.afterpay.com/en-US/stores/kohl-s,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
levis,levis,Levi Strauss & Co.,LEVI,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.levi.com/US/en_US/; https://www.levistrauss.com/investors/,2019/6/11,afterpay,reported_afterpay_partnership,medium_news_report,news_report,https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/,Retail Dive reported Afterpay brought installment payments to Levi's and Ray-Ban.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/levi-s-03203,http://web.archive.org/web/20210514192500/https://www.afterpay.com/en-US/stores/levi-s-03203,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-06-11 reported_afterpay_partnership [medium_news_report]: https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/"
macys,macys,"Macy's, Inc.",M,NYSE,direct_public,merchant_level,affirm; klarna; zip,3,auto_public_match_needs_light_review,https://www.macys.com/; https://finance.yahoo.com/quote/M,2020/10/6,klarna,official_online_checkout_adoption,strong,provider_press_release,https://www.klarna.com/international/press/macys-and-klarna-announce-new-five-year-partnership-to-provide-more-payment-options/,Klarna and Macy's announced Pay in 4 at online checkout.,2021/9/21,zip,https://zip.co/us/store/macys,http://web.archive.org/web/20210921001413/https://zip.co/us/store/macys,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-10-06 official_online_checkout_adoption [strong]: https://www.klarna.com/international/press/macys-and-klarna-announce-new-five-year-partnership-to-provide-more-payment-options/ | klarna 2021-05-03 in_store_expansion [expansion_not_initial]: https://www.klarna.com/international/press/macys-inc-exclusively-partners-with-klarna-to-offer-pay-in-four-services-in-750-stores-nationwide/"
michaelkors,michaelkors,Capri Holdings Limited,CPRI,NYSE,subsidiary_of_public,parent_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://www.capriholdings.com/investors/,2023/10/1,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20231001181422/https://www.michaelkors.com/info/payment-policy.html,Wayback snapshot of Michael Kors official payment policy lists Afterpay and Klarna among accepted online payment options.,2021/9/27,zip,https://zip.co/us/store/michael-kors,http://web.archive.org/web/20210927191927/https://zip.co/us/store/michael-kors,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2023-10-01 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20231001181422/https://www.michaelkors.com/info/payment-policy.html"
pandora,pandora,Pandora A/S,PNDORA.CO,Nasdaq Copenhagen,direct_public,merchant_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://investor.pandoragroup.com/,,,,,,,,2021/9/27,zip,https://zip.co/us/store/pandora,http://web.archive.org/web/20210927191637/https://zip.co/us/store/pandora,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
prettylittlething,prettylittlething,Boohoo Group plc,BOO.L,London Stock Exchange,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.boohooplc.com/investors/,2026/3/6,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20260306052640/https://www.prettylittlething.us/pages/informational/payments/afterpay,Wayback snapshot of PrettyLittleThing USA official Afterpay payment page; late official-page observation relative to weak provider-directory date.,2020/9/23,clearpay,https://www.clearpay.co.uk/en-GB/stores/pretty-little-thing,http://web.archive.org/web/20200923000939/https://www.clearpay.co.uk/en-GB/stores/pretty-little-thing,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2026-03-06 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20260306052640/https://www.prettylittlething.us/pages/informational/payments/afterpay"
target,target,Target Corporation,TGT,NYSE,direct_public,merchant_level,afterpay; klarna; zip,3,auto_public_match_needs_light_review,https://www.target.com/c/hearth-hand-with-magnolia/-/N-4k98u; https://finance.yahoo.com/quote/TGT,2021/10/6,affirm_sezzle,official_adoption_announcement,strong,merchant_press_article,https://corporate.target.com/news-features/article/2021/10/buy-now-pay-later,Target announced BNPL options with Affirm and Sezzle for holiday shopping.,2021/9/23,zip,https://zip.co/us/store/target,http://web.archive.org/web/20210923080451/https://zip.co/us/store/target,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm_sezzle 2021-10-06 official_adoption_announcement [strong]: https://corporate.target.com/news-features/article/2021/10/buy-now-pay-later"
urbanoutfitters,urbanoutfitters,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,afterpay; clearpay; zip,3,confirmed_or_manually_mapped_public,https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported Klarna expanded Pay in 4 online to Urban Outfitters and Anthropologie banners in the U.S.,2020/9/22,clearpay,https://www.clearpay.co.uk/en-GB/stores/urban-outfitters,http://web.archive.org/web/20200922233736/https://www.clearpay.co.uk/en-GB/stores/urban-outfitters,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-11-18 official_europe_online_checkout_adoption [strong_non_us]: https://www.klarna.com/international/press/urban-outfitters-and-anthropologie-partners-with-klarna-ahead-of-peak/ | klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/"
1800flowers,1800flowers,"1-800-FLOWERS.COM, Inc.",FLWS,NASDAQ,direct_public,merchant_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://investors.1800flowers.com/,2022/1/20,klarna,official_adoption_announcement,strong,merchant_press_release,https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804,"1-800-FLOWERS.COM press release announced customers could now check out with Klarna as a Buy Now, Pay Later option.",2021/9/21,zip,https://zip.co/us/store/1-800-flowers,http://web.archive.org/web/20210921001010/https://zip.co/us/store/1-800-flowers,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2022-01-20 official_adoption_announcement [strong]: https://www.1800flowersinc.com/news-and-media/newsroom/press-releases/2022/01-20-2022-130356804"
atandt,AT&T,AT&T Inc.,T,NYSE,direct_public,merchant_level,klarna; zip,2,auto_public_match_needs_light_review,https://therelaunchpad.com/companies/does-at-and-t-hire-felons/; https://finance.yahoo.com/quote/T,,,,,,,,2021/9/27,zip,https://zip.co/us/store/at-t,http://web.archive.org/web/20210927200633/https://zip.co/us/store/at-t,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
bhldn,BHLDN,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported the U.S. Klarna expansion covered items from BHLDN among URBN banners.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/bhldn,http://web.archive.org/web/20210514202821/https://www.afterpay.com/en-US/stores/bhldn,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/"
bathandbodyworks,Bath&BodyWorks,"Bath & Body Works, Inc.",BBWI,NYSE,direct_public,merchant_level,klarna; zip,2,confirmed_or_manually_mapped_public,https://www.bathandbodyworks.com.my/; https://www.bbwinc.com/investors/,,,,,,,,2021/9/27,zip,https://zip.co/us/store/bath-body-works,http://web.archive.org/web/20210927202037/https://zip.co/us/store/bath-body-works,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
bookingcom,Booking.com,Booking Holdings Inc.,BKNG,NASDAQ,subsidiary_of_public,parent_level,klarna; zip,2,confirmed_or_manually_mapped_public,https://www.booking.com/; https://www.bookingholdings.com/investors/,,,,,,,,2022/5/28,zip,https://zip.co/us/store/booking-com,http://web.archive.org/web/20220528005105/https://zip.co/us/store/booking-com,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
cettire,Cettire,Cettire Limited,CTT.AX,Australian,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/CTT.AX,,,,,,,,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/cettire-37937,http://web.archive.org/web/20240528180506/https://www.afterpay.com/en-US/stores/cettire-37937,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
clinique,Clinique,The Estee Lauder Companies Inc.,EL,NYSE,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.elcompanies.com/en/investors,2019/10/14,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20191014125226/https://www.clinique.com/afterpay,Wayback snapshot of Clinique official Afterpay page shows Afterpay payment information.,2021/9/22,zip,https://zip.co/us/store/clinique,http://web.archive.org/web/20210922021427/https://zip.co/us/store/clinique,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-10-14 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20191014125226/https://www.clinique.com/afterpay"
dtlr,DTLR,JD Sports Fashion plc,JD.L,London Stock Exchange,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.jdsportsfashion.com/investors/,,,,,,,,2022/5/21,zip,https://zip.co/us/store/dtlr-villa,http://web.archive.org/web/20220521125130/https://zip.co/us/store/dtlr-villa,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
dermalogica,Dermalogica,Unilever PLC,UL,NYSE ADR,subsidiary_of_public,parent_level,affirm; afterpay,2,confirmed_or_manually_mapped_public,https://www.dermalogica.com/; https://www.unilever.com/investors/,2020/10/21,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,https://web.archive.org/web/20201021044044/https://www.dermalogica.com/pages/contact-us,Wayback snapshot of Dermalogica official contact/payment help page shows Afterpay checkout instructions and four-installment language.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/dermalogica-78927,http://web.archive.org/web/20210514204430/https://www.afterpay.com/en-US/stores/dermalogica-78927,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-10-21 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20201021044044/https://www.dermalogica.com/pages/contact-us"
eyebuydirect,EyeBuyDirect,EssilorLuxottica SA,EL.PA,Euronext Paris,subsidiary_of_public,parent_level,afterpay; zip,2,confirmed_or_manually_mapped_public,https://www.essilorluxottica.com/investors/,2022/2/22,afterpay,official_partnership_announcement,strong,merchant_press_release,https://www.prnewswire.com/news-releases/eyebuydirect-and-afterpay-partner-to-offer-buy-now-pay-later-payments-301486590.html,EyeBuyDirect PRNewswire release announced an Afterpay partnership and said customers could select Afterpay at checkout.,2022/5/18,afterpay,https://www.afterpay.com/en-us/stores/eyebuydirect,http://web.archive.org/web/20220518201144/https://www.afterpay.com/en-US/stores/eyebuydirect,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2022-02-22 official_partnership_announcement [strong]: https://www.prnewswire.com/news-releases/eyebuydirect-and-afterpay-partner-to-offer-buy-now-pay-later-payments-301486590.html"
funko,Funko,"Funko, Inc.",FNKO,NASDAQ,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/FNKO,,,,,,,,2022/5/18,afterpay,https://www.afterpay.com/en-us/stores/funko,http://web.archive.org/web/20220518224122/https://www.afterpay.com/en-US/stores/funko,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
nintendo,Nintendo,"Nintendo Co., Ltd.",7974.T,Tokyo Stock Exchange,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://www.nintendo.com/; https://www.nintendo.com/us/; https://finance.yahoo.com/quote/7974.T,,,,,,,,2022/5/21,zip,https://zip.co/us/store/nintendo,http://web.archive.org/web/20220521015138/https://zip.co/us/store/nintendo,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
puma,Puma,PUMA SE,PUM.SW,Swiss,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/PUM.SW,2025/12/19,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20251219031548/https://help.us.puma.com/hc/en-us/articles/38821030312347-Payment-Options,Wayback snapshot of PUMA US official payment-options page lists Afterpay and says shop now and pay later with Afterpay; late official-page observation relative to weak provider-directory date.,2021/9/22,zip,https://zip.co/us/store/puma,http://web.archive.org/web/20210922032701/https://zip.co/us/store/puma,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2025-12-19 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20251219031548/https://help.us.puma.com/hc/en-us/articles/38821030312347-Payment-Options"
quince,Quince,"Quince Therapeutics, Inc.",QNCX,NASDAQ,direct_public,merchant_level,affirm; zip,2,exclude_false_public_match,https://www.quince.com/; https://finance.yahoo.com/quote/QNCX,,,,,,,,,,,,cdx https://zip.co/us/store/quince: URLError: <urlopen error [Errno 54] Connection reset by peer>,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
starbucks,Starbucks,Starbucks Corporation,SBUX,NASDAQ,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://starbucks.com/; https://www.starbucks.com/; https://finance.yahoo.com/quote/SBUX,,,,,,,,2021/12/5,zip,https://zip.co/us/store/starbucks,http://web.archive.org/web/20211205020734/https://zip.co/us/store/starbucks,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
tillys,Tillys,"Tilly's, Inc.",TLYS,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/TLYS,,,,,,,,2022/5/24,zip,https://zip.co/us/store/tillys,http://web.archive.org/web/20220524222439/https://zip.co/us/store/tillys,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
aritzia,aritzia,Aritzia Inc.,ATZAF,OTC Markets,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://aritzia.com/us/en/default; https://finance.yahoo.com/quote/ATZAF,2020/11/26,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20201126122848/https://www.aritzia.com/us/en/afterpay,Wayback snapshot of Aritzia US official Afterpay page; page title and content identify Afterpay payment information.,2022/5/26,zip,https://zip.co/us/store/aritzia,http://web.archive.org/web/20220526074818/https://zip.co/us/store/aritzia,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-11-26 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20201126122848/https://www.aritzia.com/us/en/afterpay"
asics,asics,ASICS Corporation,7936.T,Tokyo Stock Exchange,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://www.asics.com/us/en-us/; https://finance.yahoo.com/quote/7936.T,,,,,,,,,,,,cdx https://zip.co/us/store/asics: URLError: <urlopen error [Errno 54] Connection reset by peer>; availability https://zip.co/us/store/asics: TimeoutError: The read operation timed out,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
autozone,autozone,"AutoZone, Inc.",AZO,NYSE,direct_public,merchant_level,klarna; zip,2,auto_public_match_needs_light_review,https://www.Answers.com/Q/Where_is_auto_zone_located; https://www.answers.com/auto-parts/Where_is_auto_zone_located; https://finance.yahoo.com/quote/AZO,,,,,,,,2025/2/16,klarna,https://www.klarna.com/us/store/c64234c9-c89f-4b4f-b7e4-5ea249f11431/autozone/pay-with-klarna/,http://web.archive.org/web/20250216104315/https://www.klarna.com/us/store/c64234c9-c89f-4b4f-b7e4-5ea249f11431/AutoZone/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
birkenstock,birkenstock,Birkenstock Holding plc,BIRK,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/BIRK,2020/5/14,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20200514171230/https://www.birkenstock.com/us/learn-more/afterpay/,Wayback snapshot of Birkenstock US official Afterpay page shows Afterpay payment information.,2022/5/17,zip,https://zip.co/us/store/birkenstock,http://web.archive.org/web/20220517202837/https://zip.co/us/store/birkenstock,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-05-14 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20200514171230/https://www.birkenstock.com/us/learn-more/afterpay/"
buckle,buckle,"The Buckle, Inc.",BKE,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/BKE,,,,,,,,2021/12/4,zip,https://zip.co/us/store/buckle,http://web.archive.org/web/20211204230302/https://zip.co/us/store/buckle,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
carters,carters,"Carter's, Inc.",CRI,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/CRI,,,,,,,,2021/9/22,zip,https://zip.co/us/store/carters,http://web.archive.org/web/20210922022742/https://zip.co/us/store/carters,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
crocs,crocs,"Crocs, Inc.",CROX,NASDAQ,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/CROX,2021/12/2,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_help_page,https://web.archive.org/web/20211202192846/https://www.crocs.com/customer-service/faqs/faq-cs-afterpay.html,"Wayback snapshot of Crocs official Afterpay FAQ page; Afterpay also described 2020 Crocs partnership in provider success-story materials, but this row uses official-page first observation.",2021/9/27,zip,https://zip.co/us/store/crocs,http://web.archive.org/web/20210927203533/https://zip.co/us/store/crocs,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2021-12-02 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20211202192846/https://www.crocs.com/customer-service/faqs/faq-cs-afterpay.html"
dillards,dillards,"Dillard's, Inc.",DDS,NYSE,direct_public,merchant_level,afterpay; zip,2,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/DDS,,,,,,,,,,,,cdx https://www.afterpay.com/en-us/stores/dillard-s: URLError: <urlopen error [Errno 54] Connection reset by peer>; availability https://www.afterpay.com/en-us/stores/dillard-s: TimeoutError: The read operation timed out; cdx https://zip.co/us/store/dillards: URLError: <urlopen error [Errno 54] Connection reset by peer>; availability https://zip.co/us/store/dillards: TimeoutError: The read operation timed out,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
doordash,doordash,"DoorDash, Inc.",DASH,NASDAQ,direct_public,merchant_level,klarna; zip,2,auto_public_match_needs_light_review,https://www.doordash.com/; https://finance.yahoo.com/quote/DASH,,,,,,,,2021/9/20,zip,https://zip.co/us/store/doordash,http://web.archive.org/web/20210920232452/https://zip.co/us/store/doordash,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2025-03-20 planned_adoption_announcement [planned_not_final_adoption]: https://about.doordash.com/en-us/news/doordash-partners-with-klarna"
groupon,groupon,"Groupon, Inc.",GRPN,NASDAQ,direct_public,merchant_level,klarna; zip,2,auto_public_match_needs_light_review,https://www.groupon.com/; https://finance.yahoo.com/quote/GRPN,,,,,,,,2022/1/14,zip,https://zip.co/us/store/groupon,http://web.archive.org/web/20220114125841/https://zip.co/us/store/groupon,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
mercari,mercari,"Mercari, Inc.",4385.T,Tokyo Stock Exchange,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://www.mercari.com/; https://finance.yahoo.com/quote/4385.T,,,,,,,,2021/10/24,zip,https://zip.co/us/store/mercari,http://web.archive.org/web/20211024211037/https://zip.co/us/store/mercari,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
patagonia,patagonia,Patagonia Lithium Limited,NL9.F,Frankfurt,direct_public,merchant_level,affirm; zip,2,exclude_false_public_match,https://www.patagonia.com/; https://finance.yahoo.com/quote/NL9.F,,,,,,,,2021/9/22,zip,https://zip.co/us/store/patagonia,http://web.archive.org/web/20210922032037/https://zip.co/us/store/patagonia,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
purple,purple,Purple Biotech Ltd,PPBT,NASDAQ,direct_public,merchant_level,affirm; zip,2,exclude_false_public_match,https://purple.com/; https://finance.yahoo.com/quote/PPBT,,,,,,,,2021/12/4,zip,https://zip.co/us/store/purple,http://web.archive.org/web/20211204223642/https://zip.co/us/store/purple,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
sonos,sonos,"Sonos, Inc.",SONO,NASDAQ,direct_public,merchant_level,affirm; zip,2,auto_public_match_needs_light_review,https://www.sonos.com/en-us/shop; https://finance.yahoo.com/quote/SONO,,,,,,,,2022/5/26,zip,https://zip.co/us/store/sonos,http://web.archive.org/web/20220526134426/https://zip.co/us/store/sonos,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
stubhub,stubhub,"StubHub Holdings, Inc.",STUB,NYSE,direct_public,merchant_level,klarna; zip,2,auto_public_match_needs_light_review,https://www.stubhub.com/; https://finance.yahoo.com/quote/STUB,,,,,,,,2021/9/20,zip,https://zip.co/us/store/stubhub,http://web.archive.org/web/20210920233715/https://zip.co/us/store/stubhub,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
uniqlo,uniqlo,"Fast Retailing Co., Ltd.",9983.T,Tokyo Stock Exchange,subsidiary_of_public,parent_level,affirm; zip,2,confirmed_or_manually_mapped_public,https://www.uniqlo.com/us/en/; https://www.fastretailing.com/eng/group/strategy/uniqlo.html,,,,,,,,2021/9/20,zip,https://zip.co/us/store/uniqlo,http://web.archive.org/web/20210920225247/https://zip.co/us/store/uniqlo,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
abercrombieandfitch,Abercrombie&Fitch,Abercrombie & Fitch Co.,ANF,NYSE,direct_public,merchant_level,zip,1,auto_single_provider_public_candidate_needs_review,https://finance.yahoo.com/quote/ANF,,,,,,,,2021/9/20,zip,https://zip.co/us/store/abercrombie-fitch,http://web.archive.org/web/20210920230318/https://zip.co/us/store/abercrombie-fitch,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
albertsons,Albertsons,"Albertsons Companies, Inc.",ACI,NYSE,direct_public,merchant_level,zip,1,auto_single_provider_public_candidate_needs_review,https://finance.yahoo.com/quote/ACI,,,,,,,,2021/9/22,zip,https://zip.co/us/store/albertsons,http://web.archive.org/web/20210922021158/https://zip.co/us/store/albertsons,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
alchemist,Alchemist,Alchemist Corporation Limited,ALCHCORP.BO,Bombay,direct_public,merchant_level,zip,1,exclude_false_public_match,https://finance.yahoo.com/quote/ALCHCORP.BO,,,,,,,,2022/5/23,zip,https://zip.co/us/store/alchemist,http://web.archive.org/web/20220523032415/https://zip.co/us/store/alchemist,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
ameren,Ameren,Ameren Corporation,AEE,NYSE,direct_public,merchant_level,zip,1,auto_single_provider_public_candidate_needs_review,https://finance.yahoo.com/quote/AEE,,,,,,,,2026/2/16,zip,https://zip.co/us/store/ameren,http://web.archive.org/web/20260216060840/https://zip.co/us/store/ameren,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
appfolio,AppFolio,"AppFolio, Inc.",APPF,NASDAQ,direct_public,merchant_level,zip,1,auto_single_provider_public_candidate_needs_review,https://finance.yahoo.com/quote/APPF,,,,,,,,,,,,cdx https://zip.co/us/store/appfolio: URLError: <urlopen error [Errno 54] Connection reset by peer>,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
armani,Armani,"Armanino Foods of Distinction, Inc.",AMNF,OQX,direct_public,merchant_level,zip,1,exclude_false_public_match,https://armani.prf.hn/click/camref:1101l5rUPw; https://www.armani.com/en-us/; https://finance.yahoo.com/quote/AMNF,,,,,,,,2022/5/26,zip,https://zip.co/us/store/armani,http://web.archive.org/web/20220526133235/https://zip.co/us/store/armani,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
brigit,Brigit,Bijou Brigitte AG,BIJD.XD,DXE,direct_public,merchant_level,zip,1,exclude_false_public_match,https://brigit.pxf.io/o44M0W; https://www.hellobrigit.com/; https://finance.yahoo.com/quote/BIJD.XD,,,,,,,,,,,,cdx https://zip.co/us/store/brigit: URLError: <urlopen error [Errno 54] Connection reset by peer>,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
brilliant,Brilliant,Brilliant AG,BAG.HM,Hamburg,direct_public,merchant_level,zip,1,exclude_false_public_match,https://finance.yahoo.com/quote/BAG.HM,,,,,,,,2022/5/28,zip,https://zip.co/us/store/brilliant,http://web.archive.org/web/20220528005346/https://zip.co/us/store/brilliant,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence."
